,Video Number,Title,Date Published,Views,Likes,Auther,Comment
0,1,Nothing Phone (1) Review: Seeing Through the Hype!,2022-07-15,2771251,129382,Krishnendu Chowdhury,"in a world where $1000 phones are now normal, it’s refreshing to see a mid tier phone with so much attention to detail.. I am definitely not expecting it to outshine a $1000 phone, that’d be unrealistic, just need a clean experience."
1,1,Nothing Phone (1) Review: Seeing Through the Hype!,2022-07-15,2771251,129382,david davud,"I feel that after this, the next logical step is doing a smart watch. They don't rely as much on performance but heavily on user experience so it could be decent."
2,1,Nothing Phone (1) Review: Seeing Through the Hype!,2022-07-15,2771251,129382,Mathew Blanc,"I'm still on my Pixel 2, it was a surprise to hear that the coloured notification dot is no longer common! I use it every day, it would be nice if the manufacturers brought it back before I buy my next phone, but I doubt it 😅"
3,1,Nothing Phone (1) Review: Seeing Through the Hype!,2022-07-15,2771251,129382,Jacob Olness,"Like you said, I think it is smart they're forging their own path on their products. Excited to see what else they come up with. Would love to see a better camera (even if it was on a more expensive ""Pro"" model) in the future but this seems like a good option. And it is neat looking, even if it isn't for me."
4,1,Nothing Phone (1) Review: Seeing Through the Hype!,2022-07-15,2771251,129382,Thanos The Mad Titan,High refresh rate mid rangers and budget phones are fantastic. I love how almost all new phones have high refresh rate now.
5,1,Nothing Phone (1) Review: Seeing Through the Hype!,2022-07-15,2771251,129382,Nima Master,The notification led was a cool feature. I miss having it on my old xperia ion. Why don't companies add it back at least using the always on display? Like some ppl turn AOD off to save battery. A little circular blinking dot at the corner (preferably you could choose the location) of the screen would do the job perfectly
6,1,Nothing Phone (1) Review: Seeing Through the Hype!,2022-07-15,2771251,129382,Nico Castillo,"Love the idea of having ""nothing"" in your set and background. All those containers and transparent items relate to the product being reviewed. Always love this kind of attention to details."
7,1,Nothing Phone (1) Review: Seeing Through the Hype!,2022-07-15,2771251,129382,Jordan Ferguson,"I almost 100 percent think they're going the smartwatch route next, imagine their design language on a watch. It's going to be so cool."
8,1,Nothing Phone (1) Review: Seeing Through the Hype!,2022-07-15,2771251,129382,Karun Bihari,"This is exactly what I was waiting for as a OnePlus fan. I totally understand Carl Pei his decision to leave OnePlus. OnePlus had my attention since the very first version and my first OnePlus is the 6T which I'm still using currently. But as most of us know, OnePlus went in a different direction which killed the original OnePlus vision. Thanks to Nothing I have my hope back for the future of real innovation and best user experience."
9,1,Nothing Phone (1) Review: Seeing Through the Hype!,2022-07-15,2771251,129382,Dan Killam,"It reminds me of my Essential phone that I loved. Both try to use novel materials and features to differentiate themselves. Hopefully they don't have the same problem that Essential had of over-promising. Their decision to stay overseas is a good sign from that perspective. Essential was killed by poor signal quality in North America, mostly Tmobile. It was why I had to stop using mine. I hope Nothing can continue to grow and become a real player, in a market that is becoming overly consolidated with little real competition. Also that black one looks awesome! I prefer it to the white."
