,Video Number,Title,Date Published,Views,Likes,Auther,Comment
0,1,How to Make a Great Linkedin - TIPS + EXAMPLES,2022-07-10,1577,106,The Sigma Male,"Really helpful session it was 👌
And that odia connection ❤️
Session helped me alot to improvise my linkedin profile.
Thanks to Ruparanjan for making this session interesting with his humour and experience."
1,1,How to Make a Great Linkedin - TIPS + EXAMPLES,2022-07-10,1577,106,Sagar Verma,"Hello Sir, can you make a video on project portfolio creation for analytics jobs .??"
2,1,How to Make a Great Linkedin - TIPS + EXAMPLES,2022-07-10,1577,106,Charan Sai Annam,Hi please make a video on deploying the streamlit application in aws.
3,1,How to Make a Great Linkedin - TIPS + EXAMPLES,2022-07-10,1577,106,Samadhan Chavan,Very Helpful session
4,1,How to Make a Great Linkedin - TIPS + EXAMPLES,2022-07-10,1577,106,Sasidhar Kuchibhotla,Hi @satyajit - Can you pls share the files. It would help us to practice. Thanks for the session
5,2,Learn Python Scripting with Power BI,2022-07-03,1688,82,riya tyagi,you are the best teacher sir
6,2,Learn Python Scripting with Power BI,2022-07-03,1688,82,riya tyagi,sure why did you delete recent video power bi with python please upload it
7,2,Learn Python Scripting with Power BI,2022-07-03,1688,82,Belkedi Yelodi,que Vaniaa.Uno encantan tus videos. Bendiciones hermosa Celina que Dios te cuide donde quiera  los mortalesp abian apreciado tan hermosa mujer
8,3,Power BI Advanced DAX End to End - Power BI DAX Tutorial - Jay Charole,2022-06-26,2040,115,Ashutosh Nayak,"Hello sir, can you please tell what are   the important features or what topics to learn aws Dynamo db  no sql database for the data science/analyst role? Please reply sir "
9,3,Power BI Advanced DAX End to End - Power BI DAX Tutorial - Jay Charole,2022-06-26,2040,115,Pavan Kumar,"Nice video Satyajit sir I have given a like , learnt a lot from you to grow my YouTube channel."
10,3,Power BI Advanced DAX End to End - Power BI DAX Tutorial - Jay Charole,2022-06-26,2040,115,Micheala Lang Megan,Mrs Charlotte is legit and her method works like magic I keep on earning every single week with her new strategy
11,4,Important SQL Interview Questions for Analytics - Live Q&A,2022-06-19,2033,136,Jai Tiwari,is this sql course and interview questions related to data analyst or database admin.. I m looking for sql for data analyst
12,4,Important SQL Interview Questions for Analytics - Live Q&A,2022-06-19,2033,136,Prateek Kakani,where is the sql table??
13,4,Important SQL Interview Questions for Analytics - Live Q&A,2022-06-19,2033,136,Siddharth Punn,Sir where is the pdf
14,4,Important SQL Interview Questions for Analytics - Live Q&A,2022-06-19,2033,136,Rajendra Kumar Oram,"Thank you so much sir for giving us such great case studies. I didn't hope that I could win the contest. I participated in the contest to practice because I'm from a non-tech background and now I want to make a career transition into the Data Analytics field. 

Thank you very much sir for helping people. "
15,4,Important SQL Interview Questions for Analytics - Live Q&A,2022-06-19,2033,136,Prasad Salgude,Thank you so much sir... Your videos helped me a lot.. Looking forward to learn more from you. 
16,4,Important SQL Interview Questions for Analytics - Live Q&A,2022-06-19,2033,136,Rhushikesh Sawant,"Thank you, Satyajit Pattnaik sir for giving me an opportunity to participate in your BI Contest."
17,4,Important SQL Interview Questions for Analytics - Live Q&A,2022-06-19,2033,136,Datta Navneet.,"Simply superb brother.
Congratulations all the winners
Satyajit bro Can you please share me the data source link."
